"#NeverFallInLove with a guy that loves you for your 'breast' 'laps' and 'thighs'. Tell him to go to KFC. You're not a chicken!""",Slightly Positive,Happy,Unspecified
RT @_dinero6: How tf KFC run outta chicken 😂😂 https://t.co/MY6DoLt1XG,Slightly Negative,Dissatisfied,Poor customer service
KFC in Ghana is amazing. You can switch your fries for jollof,Highly Positive,Excited,Unspecified
If I could bath if KFC gravy I would,Slightly Positive,None,Unspecified
#HappyFriday from the KFC! Report cards go home today!,Slightly Positive,Happy,Unspecified
"If He Only Wants Your Breats  Legs &amp; Thighs  Send That Nigga To KFC .",Very Negative,Angry,Unspecified
"RT @sandragogglebox: I aint see DEREK  for 2 weeks now. am off today  so am gonna go meet him go  for lunch HE LOVES KFC....",Slightly Positive,Happy,Unspecified
Pretoria man finds chewed pen in KFC sandwich http://t.co/yx3TD25ygc,Slightly Negative,Disgust,Unspecified
"Giiiirrrrrllll....  you smell good.  Like bunny rabbits and biscuits good.  And not just any biscuits KFC Biscuits.  #CreeperPhrases @kfc",Highly Positive,Satisfied,Unspecified
"RT @KFC_SG: Enjoy Singapore’s favourite KFC Meal at just $5! So Shiok #sogood! http://t.co/Sps9OoHjah",Neutral,Satisfied,Unspecified
Just bit into a KFC biscuit  that tasted  like the Sahara Desert.  😴😴 shit was dry asf.,Very Negative,Dissatisfied,Unspecified
Ticket Info: http://t.co/8FRECmqDPD,Neutral,Satisfied,Unspecified
RT @OMGFacts: Only two people at KFC know the secret recipe of 11 herbs &amp; spices and they are not allowed to travel together for security r…,Neutral,Happy,Secret Recipe
“@GawJussGal__: 18. KFC or Popeyes ?” popeyes,Neutral,Satisfied,Unspecified
RT @jeromemelt: I'm hopping on the KFC bandwagon.  @pearlbarua,Slightly Positive,Excited,Unspecified
@ItsLeeee_  I thought she was bringing you KFC lol,Slightly Positive,Happy,Unspecified
RT @jailposejesus: Bitch I know Popeyes breading,Neutral,Dissatisfied,Unspecified
It's hot. It's crispy. It's #SoGoodItHurts! Fire up your meal with the new Crispy Fire Chicken! Visit KFC at SM... http://t.co/2NHqHABWgp,Neutral,Excited,Unspecified
"RT @KFC_SG: Enjoy Singapore’s favourite KFC Meal at just $5! So Shiok #sogood! http://t.co/Sps9OoHjah",Slightly Positive,Happy,Unspecified
RT @LissetteDtfjdb: Just ate some KFC http://t.co/6OrjCl8csM,Neutral,Satisfied,Unspecified
When the card machine in KFC breaks so you don't have to pay full price : ),Slightly Negative,Angry,Poor customer service
RT @isobeldaviess: all i fucking want is a kebab and a cake and mcdonalds and KFC ooooomg i want popcorn for fuck sake,Slightly Negative,Excited,Unspecified
"RT @KagoNtsaeangel: Hahahahahahaha man ""@MOOH_LUTHULI: KFC should consider giving straws not these horse pipes""",Very Negative,Dissatisfied,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Excited,Unspecified
i am craving for the american twister meal from kfc so im gna get it,Slightly Positive,Satisfied,Unspecified
"RT @KagoNtsaeangel: Hahahahahahaha man ""@MOOH_LUTHULI: KFC should consider giving straws not these horse pipes""",Neutral,None,Unspecified
the guy at KFC just gave Collin &amp; I free drinks &amp; cookies. uhh thank you strange guy. 🙌😎,Highly Positive,Happy,Unspecified
"Pizza Hut  with KFC &amp; a donut 😁 eating healthy .",Slightly Positive,Happy,Unhealthy Food
RT @ItsWorIdStar: KFC FUCKED UP 💀 http://t.co/y9JrCWZTMD,Very Negative,Dissatisfied,Unspecified
KFC now sells weed in CO 😲⛽💨,Slightly Positive,Excited,Unspecified
My chips from @kfc have no salt and taste boring 😩,Very Negative,Dissatisfied,Unspecified
"RT @BilMurray: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/czFcDAksAW http://t.…",Very Negative,Disgust,Unhealthy Food
"Hungry af gonna make myself a turkey &amp; cheese sandwich or finish my KFC.",Slightly Positive,Excited,Unspecified
Should i get kfc omg. But i will get fat le omg omg omg😭,Slightly Negative,Dissatisfied,Unspecified
Ive had like this weird obsession with KFC recently,Slightly Positive,None,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/KfnD17dCh3",Neutral,Disgust,Unspecified
Alisia a fuckin savage! She stole a meal and a drink from kfc 💀💀💀,Neutral,Dissatisfied,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,None,Unspecified
RT @athashaazhari: I am here for KFC but Sembawang SunPlaza KFC concept is different from others.Ala-ala cafe.Saya kasi 🌟🌟🌟🌟🌟 bintang. http…,Slightly Positive,Satisfied,Unspecified
"Drove down a diff street by the crib and discovered Popeyes McDonalds Wendy's a fish market KFC and a bunch of other stuff! #Roxbury",Slightly Positive,Satisfied,Unspecified
KFC hot wings not even hot.,Very Negative,Excited,Poor customer service
Kfc kakialy w.big fams {},Neutral,Satisfied,Unspecified
@oliviabradford_ kfc is more filling,Slightly Positive,Satisfied,Unspecified
where the fuck is dad with kfc he is doing terrible his one job is to keep me fed what's happening does he want me to die of starvation???,Slightly Negative,Disgust,Unspecified
@barraford El Pollo Loco. Even I wouldn't compare Cutler to that nasty KFC shit.,Slightly Negative,Dissatisfied,Unspecified
"30 minutes in the Bracknell KFC drive-thru today seriously?",Very Negative,Angry,Unspecified
RT @_kmajorr: 👉👉 “@qxeenjae: imma let kfc finish but popeyes got the best chicken ever💅”,Slightly Positive,Satisfied,Unspecified
RT ~ Carrier Dome,Neutral,Excited,Unspecified
one time my nigga ordered a 1 piece from kfc i had to kick him out my car,Very Negative,Angry,Unspecified
Just seen a man jump over the counter at Strood KFC and attack the staff as he felt he waited to long for his chicken! Complete dickhead🔫,Slightly Negative,Disgust,Long  waiting line
Back from kfc,Slightly Positive,Satisfied,Unspecified
RT @FastTimesAtRF: 😂😂😂😂😂 RT @QB_Hitman: I'd pick this shit with a KFC bucket taped around my head with grape soda cologne http://t.co/CVck8…,Slightly Negative,Angry,Unhealthy Food
RT ~ KFC Yum!,Highly Positive,Happy,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Dissatisfied,Unspecified
right baby girl @kfc,Slightly Positive,Happy,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,None,Unspecified
@Farah_AlRashdan yes yes KFC 😂😂,Neutral,Excited,Unspecified
i just had a KFC to myself then my parents gave me the rest of theirs I COULDNT BE MORE HAPPY!,Slightly Positive,Happy,Unspecified
RT @danisnotanITBot: but i s2g if i don't want you to blame me if you end up working in kfc.,Neutral,None,Unspecified
RT @kfc: Popcorn Nuggets: the #5BuckFillUp we can all agree on. http://t.co/od2i443W2n,Slightly Positive,Satisfied,Unspecified
Had to drive for nearly an hour to get back to campus from the KFC I dropped Matt off at (he works there).,Neutral,Dissatisfied,Unspecified
I drove to Windham for KFC AND THEY ARE FREAKING CLOSED😂😭😭😂,Slightly Negative,Sad,Unavailability of KFC in a region
RT ~ KFC Yum!,Highly Positive,Excited,Unspecified
Kfc 5$ fill up is da truth bruh,Slightly Positive,Satisfied,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Excited,Unspecified
RT @kitkat_ph: Enjoy the best summer break with the new KIT KAT® Krush made with real KIT KAT® bits! Now available in all KFC Bran… http://…,Slightly Positive,Happy,Unspecified
"If you could close one fast food chain because of disgusting food which one would you pick? — KFC http://t.co/REZAXMecrX",Very Negative,Dissatisfied,Unspecified
RT @__Nyaaa: KFC has the bestttttt cookies 😩,Highly Positive,Excited,Unspecified
I really want some @kfc 😍😭😍,Highly Positive,Satisfied,Unspecified
RT @stephgrk: @Rachelpeabody Poutine. And a bucket of KFC,Slightly Positive,Happy,Unspecified
now i'm not 'black' because i've never had popeyes or kfc wtf man,Very Negative,Disgust,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Excited,Unspecified
";_; I ate at the free KFC luncheon isn't that enough.",Slightly Positive,Satisfied,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,Happy,Unspecified
"RT @DIAZAPAN: ""OMG they are using foster children to sell KFC"" @richardpatient",Slightly Negative,Dissatisfied,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/sg9L8tPElm",Slightly Positive,Excited,Unspecified
